Year,Category,Value,Type
1970,Africa,0.842538014,Continent
1970,Asia,0.561158009,Continent
1970,High Income,1.006731659,Income
1970,Low Income,0.446116666,Income
1970,Lower-middle Income,0.793778666,Income
1970,North America,0.95404166,Continent
1970,Oceania,0.851837124,Continent
1970,South America,0.975536674,Continent
1970,Upper-middle Income,0.948608011,Income
1971,Africa,0.613215947,Continent
1971,Asia,0.679519596,Continent
1971,Europe,0.971841499,Continent
1971,High Income,0.946045001,Income
1971,Low Income,0.479369996,Income
1971,Lower-middle Income,0.664358232,Income
1971,North America,0.971126932,Continent
1971,Oceania,0.893884997,Continent
1971,South America,0.975733995,Continent
1971,Upper-middle Income,0.879797721,Income
1972,Africa,0.672849727,Continent
1972,Asia,0.687898183,Continent
1972,Europe,0.976190996,Continent
1972,High Income,0.962792194,Income
1972,Low Income,0.514219443,Income
1972,Lower-middle Income,0.731130001,Income
1972,North America,1.007238124,Continent
1972,Oceania,0.947472862,Continent
1972,South America,0.997797774,Continent
1972,Upper-middle Income,0.915134778,Income
1973,Africa,0.675126967,Continent
1973,Asia,0.737250422,Continent
1973,Europe,0.984223503,Continent
1973,High Income,0.968870468,Income
1973,Low Income,0.495260711,Income
1973,Lower-middle Income,0.725984446,Income
1973,North America,1.005494006,Continent
1973,Oceania,0.952182855,Continent
1973,South America,1.002992226,Continent
1973,Upper-middle Income,0.921735657,Income
1974,Africa,0.669172498,Continent
1974,Asia,0.748509093,Continent
1974,Europe,0.9812325,Continent
1974,High Income,0.973181948,Income
1974,Low Income,0.525196667,Income
1974,Lower-middle Income,0.674339093,Income
1974,North America,1.007419328,Continent
1974,Oceania,0.897648325,Continent
1974,South America,1.006222844,Continent
1974,Upper-middle Income,0.929937389,Income
1975,Africa,0.718196781,Continent
1975,Asia,0.776824288,Continent
1975,Europe,0.99222474,Continent
1975,High Income,0.978701545,Income
1975,Low Income,0.529839991,Income
1975,Lower-middle Income,0.764758801,Income
1975,North America,1.010894392,Continent
1975,Oceania,0.889875719,Continent
1975,South America,0.993472849,Continent
1975,Upper-middle Income,0.949661429,Income
1976,Africa,0.712025309,Continent
1976,Asia,0.793743704,Continent
1976,Europe,0.981770501,Continent
1976,High Income,0.978276317,Income
1976,Low Income,0.551412353,Income
1976,Lower-middle Income,0.791425384,Income
1976,North America,1.013336915,Continent
1976,Oceania,0.919598341,Continent
1976,South America,0.997860006,Continent
1976,Upper-middle Income,0.933404995,Income
1977,Africa,0.729973874,Continent
1977,Asia,0.768115931,Continent
1977,Europe,1.000343153,Continent
1977,High Income,0.981316585,Income
1977,Low Income,0.576688667,Income
1977,Lower-middle Income,0.778755337,Income
1977,North America,1.011643145,Continent
1977,Oceania,0.92401857,Continent
1977,South America,0.980842871,Continent
1977,Upper-middle Income,0.941339175,Income
1978,Africa,0.726760617,Continent
1978,Asia,0.804553036,Continent
1978,Europe,0.99231714,Continent
1978,High Income,0.979373846,Income
1978,Low Income,0.568934112,Income
1978,Lower-middle Income,0.801284757,Income
1978,North America,0.974410837,Continent
1978,Oceania,0.976556015,Continent
1978,South America,0.997828744,Continent
1978,Upper-middle Income,0.93598416,Income
1979,Africa,0.735262724,Continent
1979,Asia,0.830483811,Continent
1979,Europe,0.995061897,Continent
1979,High Income,0.976913747,Income
1979,Low Income,0.611577646,Income
1979,Lower-middle Income,0.819542497,Income
1979,North America,1.008957867,Continent
1979,Oceania,1.004260023,Continent
1979,South America,0.99719286,Continent
1979,Upper-middle Income,0.947929553,Income
1980,Africa,0.737606328,Continent
1980,Asia,0.850881423,Continent
1980,Europe,0.994348502,Continent
1980,High Income,0.985159189,Income
1980,Low Income,0.607560001,Income
1980,Lower-middle Income,0.823504539,Income
1980,North America,1.003563574,Continent
1980,Oceania,0.981734014,Continent
1980,South America,0.989609993,Continent
1980,Upper-middle Income,0.95756619,Income
1981,Africa,0.740460558,Continent
1981,Asia,0.817242308,Continent
1981,Europe,0.993016002,Continent
1981,High Income,0.984506219,Income
1981,Low Income,0.603679413,Income
1981,Lower-middle Income,0.778132965,Income
1981,North America,1.015338467,Continent
1981,Oceania,0.974452031,Continent
1981,South America,0.994807994,Continent
1981,Upper-middle Income,0.969038702,Income
1982,Africa,0.750208126,Continent
1982,Asia,0.839917927,Continent
1982,Europe,1.001635236,Continent
1982,High Income,0.990212899,Income
1982,Low Income,0.630350005,Income
1982,Lower-middle Income,0.824416405,Income
1982,North America,1.018588666,Continent
1982,Oceania,0.986646692,Continent
1982,South America,0.985325009,Continent
1982,Upper-middle Income,0.95275,Income
1983,Africa,0.756115162,Continent
1983,Asia,0.861758755,Continent
1983,Europe,1.00236392,Continent
1983,High Income,0.99216147,Income
1983,Low Income,0.621460763,Income
1983,Lower-middle Income,0.815126542,Income
1983,North America,1.008571867,Continent
