Country,Men,Women,Category
Australia,304.1,172,Paid
Austria,364.8,248.8,Paid
Belgium,273.7,199.2,Paid
Canada,340.5,268.3,Paid
China,390,291,Paid
Denmark,260.1,194.6,Paid
Estonia,264.1,244.9,Paid
Finland,248.6,209.9,Paid
France,235.1,175.4,Paid
Germany,289.5,205.5,Paid
Greece,274.3,184.5,Paid
Hungary,272.7,202.5,Paid
India,390.6,184.7,Paid
Ireland,340.8,194.9,Paid
Italy,220.8,133.1,Paid
Japan,451.8,271.5,Paid
Korea,419,269.4,Paid
Latvia,376.9,288.5,Paid
Lithuania,354.3,279.3,Paid
Luxembourg,330,238.9,Paid
Mexico,478.3,236.3,Paid
Netherlands,284.9,201.4,Paid
New Zealand,338,205,Paid
Norway,277.4,200,Paid
Poland,314.8,203.2,Paid
Portugal,372.3,231.3,Paid
Slovenia,299.8,234.2,Paid
South Africa,294.2,195,Paid
Spain,236.2,166.8,Paid
Sweden,313,275.2,Paid
Turkey,358.3,133.9,Paid
United Kingdom,308.6,216.2,Paid
United States,331.7,247,Paid
Australia,171.6,311,Unpaid
Austria,135.3,269.2,Unpaid
Belgium,144.2,237.3,Unpaid
Canada,148.1,223.7,Unpaid
China,91,234,Unpaid
Denmark,186.1,242.8,Unpaid
Estonia,160.2,249.2,Unpaid
Finland,157.5,235.8,Unpaid
France,134.9,224,Unpaid
Germany,150.4,242.3,Unpaid
Greece,95.1,259.5,Unpaid
Hungary,162.3,293.8,Unpaid
India,51.8,351.9,Unpaid
Ireland,127,292.5,Unpaid
Italy,130.7,306.3,Unpaid
Japan,40.8,224.3,Unpaid
Korea,49,215,Unpaid
Latvia,129.7,253.3,Unpaid
Lithuania,151.6,292,Unpaid
Luxembourg,121.1,239.6,Unpaid
Mexico,131.4,331.3,Unpaid
Netherlands,145.4,224.9,Unpaid
New Zealand,141,264,Unpaid
Norway,168.5,227.4,Unpaid
Poland,158.8,295,Unpaid
Portugal,96.3,328.2,Unpaid
Slovenia,166.5,286.2,Unpaid
South Africa,102.9,249.6,Unpaid
Spain,145.9,289.1,Unpaid
Sweden,171,220.2,Unpaid
Turkey,67.6,305,Unpaid
United Kingdom,140.1,248.6,Unpaid
United States,165.8,271.3,Unpaid
